id	symbol	chr	strand	nprots	ntrans	SV	WT	WT_prots	SV_prots	min_skipped_exon	max_skipped_exon	min_skipped_bases	max_skipped_bases
ENSG00000085563	ABCB1	7	-	6	6	87214997:87229433	87225131:87229433|87214997:87225082	ENSP00000265724|ENSP00000444095|ENSP00000399419	ENSP00000411075	1	1	49	49	
ENSG00000085563	ABCB1	7	-	6	6	87195558:87199488	87195558:87196101|87196293:87199488	ENSP00000265724	ENSP00000444095	1	1	192	192	
ENSG00000156970	BUB1B	15	+	5	5	40476085:40488746	40477581:40477752|40477844:40488746|40476085:40477366	ENSP00000287598|ENSP00000409013|ENSP00000398470	ENSP00000453643	2	2	307	307	
ENSG00000234487	HLA-F	HSCHR6_MHC_MCF	+	7	7	29689363:29690361	29689363:29689945|29690221:29690361	ENSP00000414318|ENSP00000366040|ENSP00000416426|ENSP00000448096	ENSP00000405198	1	1	276	276	
ENSG00000079689	SCGN	6	+	2	2	25652714:25661780	25653681:25661780|25652714:25653610	ENSP00000367197	ENSP00000333933	1	1	71	71	
ENSG00000028203	VEZT	12	+	23	23	95611663:95645716	95611663:95617956|95618013:95645716	ENSP00000449701|ENSP00000448019	ENSP00000449056|ENSP00000410083|ENSP00000447891|ENSP00000449346|ENSP00000449591|ENSP00000447080|ENSP00000448866|ENSP00000447010|ENSP00000447044|ENSP00000448555|ENSP00000446666|ENSP00000447786|ENSP00000448724|ENSP00000447468	1	1	57	57	
ENSG00000028203	VEZT	12	+	23	23	95645848:95660133	95656858:95660133|95645848:95656682|95645848:95650926|95651016:95656682	ENSP00000410083|ENSP00000449591|ENSP00000449701|ENSP00000447633|ENSP00000380898	ENSP00000447891|ENSP00000448866|ENSP00000447468	1	2	176	266	
ENSG00000028203	VEZT	12	+	23	23	95645848:95656682	95645848:95650926|95651016:95656682	ENSP00000410083|ENSP00000449701|ENSP00000447633|ENSP00000380898	ENSP00000449591	1	1	90	90	
ENSG00000028203	VEZT	12	+	23	23	95650399:95656682	95650399:95650926|95651016:95656682	ENSP00000261219|ENSP00000450009|ENSP00000380894	ENSP00000447151	1	1	90	90	
ENSG00000232641	MOG	HSCHR6_MHC_MCF	+	13	13	29624867:29633718	29624867:29626887|29627235:29633718	ENSP00000389022|ENSP00000390785|ENSP00000400681|ENSP00000402247|ENSP00000420250|ENSP00000383509|ENSP00000395146|ENSP00000448548	ENSP00000387448	1	1	348	348	
ENSG00000232641	MOG	HSCHR6_MHC_MCF	+	13	13	29635491:29638267	29635491:29637740|29637964:29638267|29637788:29638267|29635491:29637847	ENSP00000389022|ENSP00000390785|ENSP00000387448|ENSP00000400681|ENSP00000420250|ENSP00000383509|ENSP00000447734	ENSP00000402247|ENSP00000406627	1	1	48	117	
ENSG00000232641	MOG	HSCHR6_MHC_MCF	+	13	13	29635491:29638988	29635491:29637740|29638288:29638988|29637964:29638267|29637788:29638267|29635491:29637847|29635491:29638267	ENSP00000400681|ENSP00000402247|ENSP00000420250	ENSP00000395146|ENSP00000448548	1	2	21	138	
ENSG00000010244	ZNF207	17	+	6	6	30687987:30689933	30687987:30688487|30688535:30689933	ENSP00000378165|ENSP00000378172|ENSP00000322777|ENSP00000344913	ENSP00000378168|ENSP00000340029	1	1	48	48	
ENSG00000010244	ZNF207	17	+	6	6	30692507:30694791	30692507:30693684|30693777:30694791	ENSP00000378165|ENSP00000378172|ENSP00000344913|ENSP00000340029	ENSP00000378168|ENSP00000322777	1	1	93	93	
ENSG00000147044	CASK	X	-	10	10	41413169:41416285	41414889:41416285|41413169:41414853	ENSP00000322727|ENSP00000367405|ENSP00000367408	ENSP00000354641|ENSP00000367410|ENSP00000367400	1	1	36	36	
ENSG00000147044	CASK	X	-	10	10	41414889:41419032	41414889:41416285|41416354:41419032	ENSP00000322727|ENSP00000367405|ENSP00000367408	ENSP00000400526|ENSP00000367421|ENSP00000398007	1	1	69	69	
ENSG00000147044	CASK	X	-	10	10	41469279:41485857	41469279:41481870|41481888:41485857|41483535:41485857|41469279:41483517	ENSP00000322727|ENSP00000354641|ENSP00000367405|ENSP00000367400|ENSP00000367408|ENSP00000398007|ENSP00000367396	ENSP00000400526	1	1	18	18	
ENSG00000110917	MLEC	12	+	4	4	121132073:121134119	121132073:121132627|121132956:121134119|121132804:121132898|121132804:121134119	ENSP00000228506|ENSP00000438950|ENSP00000441247	ENSP00000440746	1	2	177	235	
ENSG00000110917	MLEC	12	+	4	4	121132804:121134119	121132956:121134119|121132804:121132898	ENSP00000228506|ENSP00000438950	ENSP00000441247	1	1	58	58	
ENSG00000197816	C9orf174	9	+	7	7	100053770:100056229	100054958:100056229|100053770:100054838	ENSP00000364351	ENSP00000349562|ENSP00000378646	1	1	120	120	
ENSG00000197816	C9orf174	9	+	7	7	100105846:100116851	100111574:100112691|100112838:100116851|100109772:100111393|100105846:100109596	ENSP00000364348|ENSP00000434727	ENSP00000349562	3	3	504	504	
ENSG00000197816	C9orf174	9	+	7	7	100079511:100082408	100080865:100082408|100079511:100080745	ENSP00000414000|ENSP00000349562|ENSP00000364348|ENSP00000437666|ENSP00000434727	ENSP00000378646	1	1	120	120	
ENSG00000169093	ASMTL	X	-	4	4	1553977:1557990	1553977:1554587|1554652:1557990	ENSP00000446410|ENSP00000370718	ENSP00000410578	1	1	65	65	
ENSG00000169093	ASMTL	X	-	4	4	1554652:1561079	1558038:1561079|1554652:1557990	ENSP00000446410|ENSP00000370718	ENSP00000370734	1	1	48	48	
ENSG00000204983	PRSS1	7	+	4	4	142458566:142459625	142458566:142458920|142458962:142459625	ENSP00000417854	ENSP00000308720|ENSP00000434456|ENSP00000419912	1	1	42	42	
ENSG00000157510	AFAP1L1	5	+	2	2	148712437:148719570	148715286:148719570|148712437:148715157	ENSP00000296721	ENSP00000424427	1	1	129	129	
ENSG00000167286	CD3D	11	-	4	4	118210210:118211090	118210622:118211090|118210210:118210490	ENSP00000300692	ENSP00000434794|ENSP00000376622	1	1	132	132	
ENSG00000167286	CD3D	11	-	4	4	118210622:118213268	118210622:118211090|118211309:118213268	ENSP00000300692	ENSP00000437335	1	1	219	219	
ENSG00000130338	TULP4	6	+	2	2	158919845:158927610	158925211:158927610|158919845:158922710	ENSP00000356064	ENSP00000356061	1	1	2501	2501	
ENSG00000163617	KIAA1407	3	-	6	6	113765580:113775224	113765580:113772444|113772483:113775224	ENSP00000295878	ENSP00000418382|ENSP00000418099	1	1	39	39	
